k,channel,energy_v,relative_energy_v,weight,gap_from_previous_v,is_selected_k
1,1,11.656540870666504,0.0,1.0,,False
2,1,11.54991340637207,0.0,0.5313080549240112,,False
2,2,11.812955856323242,0.2630424499511719,0.46869200468063354,0.2630424201488495,False
3,1,11.43773078918457,0.0,0.2655925154685974,,False
3,2,11.680306434631348,0.24257564544677734,0.4987073540687561,0.2425752878189087,False
3,3,11.913692474365234,0.47596168518066406,0.23570017516613007,0.23338592052459717,False
4,1,11.500251770019531,0.0,0.3593961000442505,,True
4,2,11.739255905151367,0.23900413513183594,0.3961048126220703,0.23900461196899414,True
4,3,12.59369945526123,1.0934476852416992,0.08622404932975769,0.854442834854126,True
4,4,13.96471881866455,2.4644670486450195,0.15827499330043793,1.3710198402404785,True
5,1,11.421494483947754,0.0,0.18232931196689606,,False
5,2,11.657149314880371,0.2356548309326172,0.46945464611053467,0.23565512895584106,False
5,3,11.965134620666504,0.54364013671875,0.12530043721199036,0.30798494815826416,False
5,4,12.789433479309082,1.3679389953613281,0.07161283493041992,0.8242988586425781,False
5,5,14.004013061523438,2.5825185775756836,0.15130282938480377,1.2145801782608032,False
6,1,11.423484802246094,0.0,0.1426263451576233,,False
6,2,11.667083740234375,0.24359893798828125,0.4932956397533417,0.24359938502311707,False
6,3,11.945052146911621,0.5215673446655273,0.11270249634981155,0.2779676914215088,False
6,4,12.554814338684082,1.1313295364379883,0.060222674161195755,0.6097623705863953,False
6,5,13.225317001342773,1.8018321990966797,0.05706601217389107,0.6705032587051392,False
6,6,14.115854263305664,2.6923694610595703,0.13408678770065308,0.890536367893219,False
7,1,11.400716781616211,0.0,0.10415341705083847,,False
7,2,11.658822059631348,0.2581052780151367,0.5249727368354797,0.25810572504997253,False
7,3,11.927383422851562,0.5266666412353516,0.1003774106502533,0.2685609757900238,False
7,4,12.442694664001465,1.041977882385254,0.051921114325523376,0.5153109431266785,False
7,5,12.963241577148438,1.5625247955322266,0.05228789150714874,0.5205472111701965,False
7,6,13.634084701538086,2.233367919921875,0.05922107398509979,0.6708433032035828,False
7,7,14.242087364196777,2.8413705825805664,0.10706640034914017,0.6080021858215332,False
8,1,11.372969627380371,0.0,0.07261092215776443,,False
8,2,11.657491683959961,0.28452205657958984,0.5448145270347595,0.2845221757888794,False
8,3,11.911232948303223,0.5382633209228516,0.09549613296985626,0.2537408471107483,False
8,4,12.34306526184082,0.9700956344604492,0.046035267412662506,0.43183261156082153,False
8,5,12.80080795288086,1.4278383255004883,0.049014534801244736,0.45774269104003906,False
8,6,13.310079574584961,1.9371099472045898,0.04541413486003876,0.5092714428901672,False
8,7,13.856565475463867,2.483595848083496,0.06448062509298325,0.5464863181114197,False
8,8,14.378629684448242,3.005660057067871,0.08213378489017487,0.5220639705657959,False
