k,curve_id,vr,rmse,mae,mean_bias,max_abs_error,d1_rmse,d2_rmse
1,1,0.0,0.11966227093431091,0.09757693782043846,-0.017908362368040758,0.2779970169067383,0.05556465831582738,0.040672036416725565
1,2,4.0,0.08194205476951136,0.06554939250406804,-0.0011422326882306185,0.1931214602664113,0.04020026790466615,0.041265281110016504
1,3,6.0,0.07049499477522313,0.054318167055199235,0.0002921995712640863,0.18822422623634338,0.04420274626062462,0.05130440061617253
1,4,8.0,0.05899100476983179,0.046030439112497414,-0.0031708557598339104,0.14986467361450195,0.042337320789177936,0.0548312477823915
1,5,10.0,0.06993422076912693,0.052595729844193466,0.027172751340043287,0.17737260460853577,0.044001777848227064,0.04844033478527208
4,1,0.0,0.11775153245072607,0.09444860562462337,-0.0110210425174153,0.28757262229919434,0.054792030048236656,0.038586148142039964
4,2,4.0,0.07884117106351018,0.05702746710060338,-0.002070691278175399,0.22369420528411865,0.03546859159417349,0.03167782618391347
4,3,6.0,0.06867426240292272,0.04823884307204381,0.00017244747683683537,0.2254718691110611,0.03857733424073047,0.03733707546422483
4,4,8.0,0.055929274680913015,0.0394775160813924,-0.0015276677397467334,0.18257146328687668,0.034477460411904935,0.04061273594787781
4,5,10.0,0.06556494255151207,0.050459145866218746,0.018203264886154705,0.1373516321182251,0.036124795491826206,0.034600595542389895
