group,n_levels,energy_cluster_status,cluster_count,clustered_level_indices,cluster_centers_eV,cluster_spans_eV,cluster_weight_mass,clustered_level_count,effective_distinct_level_count,cluster_tolerance_eV
main_baseline,1,separated,0,[],[],[],[],0,1,0.02
main_baseline,2,separated,0,[],[],[],[],0,2,0.02
main_baseline,3,separated,0,[],[],[],[],0,3,0.02
main_baseline,4,separated,0,[],[],[],[],0,4,0.02
main_baseline,5,separated,0,[],[],[],[],0,5,0.02
main_baseline,6,separated,0,[],[],[],[],0,6,0.02
main_baseline,7,separated,0,[],[],[],[],0,7,0.02
main_baseline,8,separated,0,[],[],[],[],0,8,0.02
no_forward_anchor_gap,1,separated,0,[],[],[],[],0,1,0.02
no_forward_anchor_gap,2,separated,0,[],[],[],[],0,2,0.02
no_forward_anchor_gap,3,separated,0,[],[],[],[],0,3,0.02
no_forward_anchor_gap,4,separated,0,[],[],[],[],0,4,0.02
no_forward_anchor_gap,5,separated,0,[],[],[],[],0,5,0.02
no_forward_anchor_gap,6,separated,0,[],[],[],[],0,6,0.02
no_forward_anchor_gap,7,separated,0,[],[],[],[],0,7,0.02
no_forward_anchor_gap,8,separated,0,[],[],[],[],0,8,0.02
selector_no_weight_degeneracy,1,separated,0,[],[],[],[],0,1,0.02
selector_no_weight_degeneracy,2,separated,0,[],[],[],[],0,2,0.02
selector_no_weight_degeneracy,3,separated,0,[],[],[],[],0,3,0.02
selector_no_weight_degeneracy,4,separated,0,[],[],[],[],0,4,0.02
selector_no_weight_degeneracy,5,separated,0,[],[],[],[],0,5,0.02
selector_no_weight_degeneracy,6,separated,0,[],[],[],[],0,6,0.02
selector_no_weight_degeneracy,7,separated,0,[],[],[],[],0,7,0.02
selector_no_weight_degeneracy,8,separated,0,[],[],[],[],0,8,0.02
selector_no_energy_cluster,1,separated,0,[],[],[],[],0,1,0.02
selector_no_energy_cluster,2,separated,0,[],[],[],[],0,2,0.02
selector_no_energy_cluster,3,separated,0,[],[],[],[],0,3,0.02
selector_no_energy_cluster,4,separated,0,[],[],[],[],0,4,0.02
selector_no_energy_cluster,5,separated,0,[],[],[],[],0,5,0.02
selector_no_energy_cluster,6,separated,0,[],[],[],[],0,6,0.02
selector_no_energy_cluster,7,separated,0,[],[],[],[],0,7,0.02
selector_no_energy_cluster,8,separated,0,[],[],[],[],0,8,0.02
selector_metric_bic_aic_only,1,separated,0,[],[],[],[],0,1,0.02
selector_metric_bic_aic_only,2,separated,0,[],[],[],[],0,2,0.02
selector_metric_bic_aic_only,3,separated,0,[],[],[],[],0,3,0.02
selector_metric_bic_aic_only,4,separated,0,[],[],[],[],0,4,0.02
selector_metric_bic_aic_only,5,separated,0,[],[],[],[],0,5,0.02
selector_metric_bic_aic_only,6,separated,0,[],[],[],[],0,6,0.02
selector_metric_bic_aic_only,7,separated,0,[],[],[],[],0,7,0.02
selector_metric_bic_aic_only,8,separated,0,[],[],[],[],0,8,0.02
