name,mean_score,stage_count,score_count,update_lr,update_grad_clip,update_w_smooth,update_w_d1,update_w_d2,update_w_peak_window,update_w_vr_late_bias,update_w_high_vr_valley_depth,update_w_prior_gap,update_min_level_gap,update_w_prior_anchor,update_w_vr_amplitude_ratio,update_early_stop_patience
lr_higher_guarded,0.6653395597679499,3,29,0.003125,5.0,0.0025,,,,,,,,,,
structure_guard,0.7916735601903518,3,29,,,0.0025,0.05,0.03,0.12,0.06,0.08,,,,,
d1_d2_balanced,0.9411081255679083,2,13,,,0.003,0.046,0.025,,,,,,,,
prior_gap_stronger,0.9428976748042638,2,13,,,,,,,,,0.0,0.05,,,
baseline,1.1693529529150122,1,5,,,,,,,,,,,,,
prior_anchor_stronger,1.1693529529150122,1,5,,,,,,,,,0.0,,0.0,,
d2_stronger,1.1693548764869257,1,5,,,,,0.035,0.1,,,,,,,
vr_response_guard,1.1713544972038705,1,5,,,0.002,,,,0.08,0.105,,,,0.08,
low_smooth_peak,1.1862370795359647,1,5,0.002125,,0.00125,0.04,0.02,0.1,,,,,,,
vr_bias_stronger,1.1865081711983223,1,5,0.002125,,,,,,0.1,,,,,0.05,
low_smooth_high_peak,1.1985206071900725,1,5,0.001875,,0.00075,,,0.14,,,,,,,
lr_lower_patience,1.2116868477448057,1,5,0.0016250000000000001,,,,,,,,,,,,70.0
