name,mean_score,stage_count,score_count,update_lr,update_grad_clip,update_w_smooth,update_w_vr_late_bias,update_w_vr_amplitude_ratio,update_w_high_vr_valley_depth,update_w_d1,update_w_d2,update_w_peak_window,update_w_prior_anchor,update_w_prior_gap,update_min_level_gap,update_early_stop_patience
lr_higher_guarded,0.7307923576392837,3,29,0.0025,5.0,0.005,,,,,,,,,,
vr_response_guard,0.8091168118710679,3,29,,,0.004,0.08,0.08,0.105,,,,,,,
d1_d2_balanced,0.9849957770304253,2,13,,,0.006,,,,0.046,0.025,,,,,
structure_guard,0.9860252798578818,2,13,,,0.005,0.06,,0.08,0.05,0.03,0.12,,,,
baseline,1.1674341338880783,1,5,,,,,,,,,,,,,
prior_anchor_stronger,1.1674385716114268,1,5,,,,,,,,,,0.0010422145585691925,0.0005453056616657971,,
d2_stronger,1.167482845788395,1,5,,,,,,,,0.035,0.1,,,,
prior_gap_stronger,1.1679365380772215,1,5,,,,,,,,,,,0.0008569088969033955,0.05,
vr_bias_stronger,1.1840198122006238,1,5,0.0017,,,0.1,0.05,,,,,,,,
low_smooth_peak,1.1840413431671652,1,5,0.0017,,0.0025,,,,0.04,0.02,0.1,,,,
low_smooth_high_peak,1.1957654804558504,1,5,0.0015,,0.0015,,,,,,0.14,,,,
lr_lower_patience,1.2078895928303528,1,5,0.0013000000000000002,,,,,,,,,,,,70.0
